node_id,node_type,x_km,y_km,facility_id,service,population
300116,ShelterTreatment,35.06888998,138.24436819,58.0,treatment,
500001,EmergencyHospitalTriage,35.019833,138.397552,1.0,triage,
500002,EmergencyHospitalTreatment,35.019833,138.397552,1.0,treatment,
500003,EmergencyHospitalTriage,34.979336,138.371048,2.0,triage,
500004,EmergencyHospitalTreatment,34.979336,138.371048,2.0,treatment,
500005,EmergencyHospitalTriage,35.045265,138.474518,3.0,triage,
500006,EmergencyHospitalTreatment,35.045265,138.474518,3.0,treatment,
500007,EmergencyHospitalTriage,35.031418,138.492584,4.0,triage,
500008,EmergencyHospitalTreatment,35.031418,138.492584,4.0,treatment,
500009,EmergencyHospitalTriage,34.931961,138.384445,5.0,triage,
500010,EmergencyHospitalTreatment,34.931961,138.384445,5.0,treatment,
600001,DisasterHospitalTriage,35.001636,138.386416,1.0,triage,
600002,DisasterHospitalTreatment,35.001636,138.386416,1.0,treatment,
600003,DisasterHospitalTriage,34.9784811,138.379676,2.0,triage,
600004,DisasterHospitalTreatment,34.9784811,138.379676,2.0,treatment,
600005,DisasterHospitalTriage,34.982959,138.490143,3.0,triage,
600006,DisasterHospitalTreatment,34.982959,138.490143,3.0,treatment,
600007,DisasterHospitalTriage,34.976307,138.380736,4.0,triage,
600008,DisasterHospitalTreatment,34.976307,138.380736,4.0,treatment,
600009,DisasterHospitalTriage,34.975888,138.413086,5.0,triage,
600010,DisasterHospitalTreatment,34.975888,138.413086,5.0,treatment,
400001,AmbulanceFromShelter,34.9822861,138.38303131,1.0,,
400002,AmbulanceFromShelter,34.97019029,138.37710989,2.0,,
400003,AmbulanceFromShelter,34.97528121,138.36894676,3.0,,
400004,AmbulanceFromShelter,34.98093892,138.37428506,4.0,,
400005,AmbulanceFromShelter,34.97536207,138.39128899,5.0,,
400006,AmbulanceFromShelter,34.98609409,138.39289131,6.0,,
400007,AmbulanceFromShelter,34.9917488,138.38344209,7.0,,
400008,AmbulanceFromShelter,35.00278352,138.38793293,8.0,,
400009,AmbulanceFromShelter,34.999059,138.39631558,9.0,,
400010,AmbulanceFromShelter,34.99615117,138.40685916,10.0,,
400011,AmbulanceFromShelter,35.0058139,138.41386669,11.0,,
400012,AmbulanceFromShelter,35.02311803,138.42200475,12.0,,
400013,AmbulanceFromShelter,35.00223157,138.42262178,13.0,,
400014,AmbulanceFromShelter,35.02569472,138.38949368,14.0,,
400015,AmbulanceFromShelter,34.98565449,138.33662754,15.0,,
400016,AmbulanceFromShelter,34.98844348,138.36676899,16.0,,
400017,AmbulanceFromShelter,35.00464994,138.36869861,17.0,,
400018,AmbulanceFromShelter,35.01448219,138.37472018,18.0,,
400019,AmbulanceFromShelter,35.02238129,138.35980789,19.0,,
400020,AmbulanceFromShelter,35.04375649,138.36772355,20.0,,
400021,AmbulanceFromShelter,34.97147367,138.39274728,21.0,,
400022,AmbulanceFromShelter,34.96387182,138.39234476,22.0,,
400023,AmbulanceFromShelter,34.96241102,138.40311047,23.0,,
400024,AmbulanceFromShelter,34.95695314,138.3863761,24.0,,
400025,AmbulanceFromShelter,34.94107466,138.39956421,25.0,,
400026,AmbulanceFromShelter,34.96064186,138.40991822,26.0,,
400027,AmbulanceFromShelter,34.97836743,138.40735404,27.0,,
400028,AmbulanceFromShelter,34.98404483,138.42346642,28.0,,
400029,AmbulanceFromShelter,34.95483166,138.42928326,29.0,,
400030,AmbulanceFromShelter,34.98914198,138.43768215,30.0,,
400031,AmbulanceFromShelter,34.96236308,138.35866486,31.0,,
400032,AmbulanceFromShelter,34.94603754,138.37268333,32.0,,
400033,AmbulanceFromShelter,34.94629807,138.35040785,33.0,,
400034,AmbulanceFromShelter,34.93772177,138.36812291,34.0,,
400035,AmbulanceFromShelter,35.02892165,138.47978583,35.0,,
400036,AmbulanceFromShelter,35.01456217,138.47423957,36.0,,
400037,AmbulanceFromShelter,35.01119036,138.47763378,37.0,,
400038,AmbulanceFromShelter,34.99828894,138.47188189,38.0,,
400039,AmbulanceFromShelter,34.99061498,138.48666946,39.0,,
400040,AmbulanceFromShelter,34.99089039,138.51652494,40.0,,
400041,AmbulanceFromShelter,35.03479284,138.45619902,41.0,,
400042,AmbulanceFromShelter,35.00698224,138.4531974,42.0,,
400043,AmbulanceFromShelter,35.00191328,138.44811196,43.0,,
400044,AmbulanceFromShelter,35.05187148,138.47526644,44.0,,
400045,AmbulanceFromShelter,35.05606039,138.52226465,45.0,,
400046,AmbulanceFromShelter,35.10166341,138.51064721,46.0,,
400047,AmbulanceFromShelter,35.10771718,138.47910673,47.0,,
400048,AmbulanceFromShelter,35.12419344,138.61968184,48.0,,
400049,AmbulanceFromShelter,35.1190602,138.59521694,49.0,,
400050,AmbulanceFromShelter,35.1079926,138.56336915,50.0,,
400051,AmbulanceFromShelter,35.03578073,138.42768477,51.0,,
400052,AmbulanceFromShelter,34.97974051,138.30903887,52.0,,
400053,AmbulanceFromShelter,35.02143656,138.26044681,53.0,,
400054,AmbulanceFromShelter,34.98789514,138.30870256,54.0,,
400055,AmbulanceFromShelter,35.22210266,138.24428604,55.0,,
400056,AmbulanceFromShelter,35.2440998,138.34219176,56.0,,
400057,AmbulanceFromShelter,35.11056543,138.33098889,57.0,,
400058,AmbulanceFromShelter,35.06888998,138.24436819,58.0,,
700001,AmbulanceTransfer,35.019833,138.397552,1.0,,
700002,AmbulanceTransfer,34.979336,138.371048,2.0,,
700003,AmbulanceTransfer,35.045265,138.474518,3.0,,
700004,AmbulanceTransfer,35.031418,138.492584,4.0,,
700005,AmbulanceTransfer,34.931961,138.384445,5.0,,
900001,Cure,40.0,-5.0,,,
900002,Death,40.0,-10.0,,,
