,300001,300003,300005,300007,300009,300011,300013,300015,300017,300019,300021,300023,300025,300027,300029,300031,300033,300035,300037,300039,300041,300043,300045,300047,300049,300051,300053,300055,300057,300059,300061,300063,300065,300067,300069,300071,300073,300075,300077,300079,300081,300083,300085,300087,300089,300091,300093,300095,300097,300099,300101,300103,300105,300107,300109,300111,300113,300115
100012,1.203,1.995,2.899,1.903,0.479,1.587,2.347,3.661,3.424,3.273,4.836,8.189,4.955,6.69,6.668,3.228,4.82,5.714,7.52,10.692,1.343,2.18,2.974,3.034,5.906,3.26,2.295,4.702,5.844,6.481,5.971,4.994,5.661,5.928,11.454,10.475,10.782,10.999,13.278,17.991,11.016,7.906,7.426,14.506,17.633,22.929,22.403,30.308,27.366,24.195,9.68,9.045,14.857,8.832,62.875,35.712,21.283,24.168
100013,0.804,2.507,2.705,1.766,0.933,1.051,1.948,3.262,2.888,2.737,4.3,6.666,4.419,6.154,6.257,3.091,4.683,5.577,7.383,10.554,1.415,2.692,3.046,3.546,6.418,3.332,2.367,4.773,5.915,6.553,6.483,5.506,6.173,6.44,11.526,10.546,10.854,11.071,13.35,18.062,9.493,7.978,7.498,14.578,17.705,23.0,22.475,30.38,27.438,24.266,8.157,8.634,14.447,8.422,62.465,35.574,21.146,23.758
100014,1.433,3.093,3.998,2.395,1.235,0.947,2.577,3.625,2.746,2.595,4.158,7.701,4.277,6.012,7.766,3.72,5.312,6.206,8.012,11.183,1.795,3.279,3.426,4.133,7.004,3.713,1.884,4.214,5.389,5.993,7.07,6.093,6.759,7.026,10.967,9.987,10.295,10.512,12.79,17.503,10.529,7.419,6.939,14.019,17.146,22.441,21.916,29.821,26.879,23.707,9.192,10.143,15.955,9.931,63.973,36.203,21.775,25.266
100015,0.91,2.612,2.811,1.872,1.207,0.584,2.053,3.299,2.421,2.27,3.833,6.198,3.952,5.687,6.363,3.197,4.789,5.682,7.489,10.66,1.688,2.798,3.319,3.652,6.524,3.606,2.64,5.047,6.189,6.826,6.589,5.612,6.279,6.545,11.799,10.82,11.127,11.344,13.623,18.336,9.026,8.252,7.771,14.851,17.978,23.274,22.749,30.653,27.712,24.54,7.69,8.74,14.552,8.528,62.57,35.68,21.252,23.863
100016,1.089,2.792,2.99,2.051,1.386,0.37,1.424,3.085,2.207,2.056,3.619,5.984,3.738,5.473,6.542,3.376,4.968,5.862,7.668,10.84,1.868,2.978,3.499,3.831,6.703,3.785,2.018,4.115,5.524,5.895,6.768,5.792,6.458,6.725,10.868,9.888,10.196,10.413,12.692,17.404,8.812,7.32,6.84,13.92,17.047,22.342,21.817,29.722,26.78,23.608,7.476,8.92,14.732,8.707,62.75,35.86,21.431,24.043
100017,1.263,2.965,3.164,2.225,1.56,0.196,1.347,2.912,2.033,1.882,3.445,5.811,3.564,5.299,6.716,3.55,5.142,6.036,7.842,11.013,2.042,3.151,3.673,4.005,6.877,3.959,2.192,3.942,5.697,5.721,6.942,5.965,6.632,6.898,10.694,9.715,10.022,10.239,12.518,17.231,8.638,7.146,6.666,13.746,16.873,22.169,21.643,29.548,26.606,23.435,7.302,9.093,14.906,8.881,62.923,36.033,21.605,24.216
100018,1.741,3.069,3.973,2.703,1.333,0.595,1.746,3.272,2.394,2.243,3.806,6.171,3.925,5.66,7.742,4.028,5.62,6.514,8.32,11.492,1.771,3.254,3.402,4.108,6.98,3.688,1.859,4.19,5.365,5.969,7.045,6.068,6.735,7.002,10.942,9.963,10.27,10.487,12.766,17.479,8.999,7.395,6.914,13.994,17.121,22.417,21.892,29.796,26.854,23.683,7.663,10.119,15.931,9.906,63.949,36.512,22.083,25.242
100019,1.524,2.931,3.835,2.487,1.195,0.738,1.889,3.415,2.536,2.385,3.948,7.539,4.067,5.802,7.604,3.811,5.403,6.297,8.104,11.275,1.633,3.117,3.264,3.97,6.842,3.55,1.722,4.052,5.227,5.831,6.908,5.931,6.597,6.864,10.805,9.825,10.133,10.35,12.628,17.341,10.367,7.257,6.777,13.856,16.984,22.279,21.754,29.659,26.717,23.545,9.03,9.981,15.793,9.768,63.811,36.295,21.866,25.104
100020,1.805,2.564,3.468,2.968,0.828,2.188,2.948,4.262,4.025,3.28,4.432,6.893,4.82,7.391,7.237,4.293,5.885,6.779,8.585,11.756,1.266,2.749,2.897,3.603,6.475,3.183,1.19,3.406,4.774,5.185,6.54,5.563,6.23,6.497,10.158,9.179,9.486,9.703,11.982,16.695,9.72,6.611,6.13,13.21,16.338,21.633,21.108,29.012,26.071,22.899,8.384,9.614,15.426,9.401,63.444,36.776,22.348,24.737
100021,3.261,3.752,4.657,4.157,2.249,3.645,4.405,6.235,4.653,2.887,4.038,6.499,4.427,6.998,8.425,5.481,7.073,7.967,9.774,12.945,2.455,3.938,4.085,4.792,7.663,3.695,1.392,3.012,4.381,4.792,7.729,6.752,7.418,7.685,9.765,8.785,9.093,9.31,11.589,16.302,9.327,6.217,5.737,12.817,15.944,21.239,20.714,28.619,25.677,22.505,7.991,10.802,16.614,10.59,64.632,37.965,23.536,25.925
100022,2.231,3.266,4.17,3.67,1.254,1.957,3.375,4.688,3.794,3.076,4.228,6.689,4.616,7.187,7.939,4.995,6.587,7.481,9.287,12.458,1.968,3.452,3.599,4.305,7.177,3.209,1.581,3.202,4.57,4.981,7.242,6.265,6.932,7.199,9.954,8.975,9.282,9.499,11.778,16.491,9.516,6.406,5.926,13.006,16.133,21.429,20.903,28.808,25.866,22.695,8.18,10.316,16.128,10.103,64.146,37.478,23.05,25.439
100023,1.535,2.658,3.563,3.062,0.922,1.369,2.679,4.085,3.206,3.055,4.805,7.266,5.193,6.472,7.331,4.387,5.979,6.873,8.679,11.851,1.36,2.844,2.991,3.698,6.569,3.278,1.449,3.779,4.954,5.558,6.635,5.658,6.324,6.591,10.532,9.552,9.86,10.077,12.356,17.068,10.094,6.984,6.504,13.584,16.711,22.006,21.481,29.386,26.444,23.272,8.757,9.708,15.52,9.496,63.538,36.871,22.442,24.831
100024,1.078,2.337,3.242,2.041,0.558,1.462,2.222,3.536,3.299,3.148,4.711,7.885,4.83,6.565,7.01,3.365,4.957,5.851,7.658,10.829,1.04,2.523,2.67,3.377,6.248,2.957,1.991,4.398,5.54,6.177,6.314,5.337,6.003,6.27,11.15,10.171,10.479,10.695,12.974,17.687,10.713,7.603,7.122,14.202,17.33,22.625,22.1,30.004,27.063,23.891,9.376,9.387,15.199,9.175,63.217,35.849,21.42,24.51
