node,class,lambda0
100001,1,0.0460625
100002,1,0.022229166666666664
100003,1,0.027729166666666666
100004,1,0.0
100005,1,0.2651458333333333
100006,1,0.13245833333333334
100007,1,0.18104166666666666
100008,1,0.3815625
100009,1,0.246125
100010,1,0.3192291666666667
100011,1,0.08639583333333332
100012,1,0.29654166666666665
100013,1,0.1996041666666667
100014,1,0.1998333333333333
100015,1,0.09922916666666667
100016,1,0.0653125
100017,1,0.0708125
100018,1,0.15125
100019,1,0.07104166666666667
100020,1,0.06508333333333333
100021,1,0.14093750000000002
100022,1,0.20166666666666666
100023,1,0.30868749999999995
100024,1,0.1010625
100025,1,0.12833333333333333
100026,1,0.0680625
100027,1,0.06439583333333333
100028,1,0.17897916666666666
100029,1,0.0158125
100030,1,0.037125
100031,1,0.0025208333333333333
100032,1,0.133375
100033,1,0.014437499999999999
100034,1,0.10518749999999999
100035,1,0.013062499999999998
100036,1,0.23099999999999998
100037,1,0.019020833333333334
100038,1,0.056833333333333326
100039,1,0.017416666666666667
100040,1,0.12122916666666665
100041,1,0.08227083333333333
100042,1,0.05752083333333333
100043,1,0.0543125
100044,1,0.04674999999999999
100045,1,0.05339583333333333
100046,1,0.05270833333333333
100047,1,0.07035416666666666
100048,1,0.10747916666666665
100049,1,0.07127083333333334
100050,1,0.05408333333333333
100051,1,0.16683333333333333
100052,1,0.13108333333333333
100053,1,0.15904166666666664
100054,1,0.05797916666666666
100055,1,0.077
100056,1,0.11802083333333334
100057,1,0.07310416666666668
100058,1,0.15102083333333333
100059,1,0.033916666666666664
100060,1,0.11297916666666669
100061,1,0.05316666666666667
100062,1,0.11939583333333331
100063,1,0.08364583333333334
100064,1,0.0488125
100065,1,0.013291666666666667
100066,1,0.022
100067,1,0.0226875
100068,1,0.0158125
100069,1,0.028416666666666663
100070,1,0.049729166666666665
100071,1,0.07631249999999999
100072,1,0.03872916666666667
100073,1,0.0295625
100074,1,0.04835416666666667
100075,1,0.020166666666666666
100076,1,0.16454166666666667
100077,1,0.04904166666666667
100078,1,0.050875
100079,1,0.0488125
100080,1,0.027729166666666666
100081,1,0.04629166666666666
100082,1,0.056833333333333326
100083,1,0.21977083333333333
100084,1,0.25025
100085,1,0.29218750000000004
100086,1,0.21633333333333332
100087,1,0.20533333333333334
100088,1,0.17210416666666664
100089,1,0.09349999999999999
100090,1,0.09991666666666665
100091,1,0.043770833333333335
100092,1,0.136125
100093,1,0.17370833333333333
100094,1,0.20510416666666667
100095,1,0.07952083333333332
100096,1,0.0804375
100097,1,0.07379166666666666
100098,1,0.06072916666666666
100099,1,0.0584375
100100,1,0.043083333333333335
100101,1,0.03964583333333333
100102,1,0.06141666666666666
100103,1,0.06920833333333333
100104,1,0.0495
100105,1,0.059125
100106,1,0.045375
100107,1,0.012604166666666666
100108,1,0.12993749999999998
100109,1,0.016958333333333332
100110,1,0.026583333333333334
100111,1,0.06141666666666666
100112,1,0.05568749999999999
100113,1,0.0254375
100114,1,0.0275
100115,1,0.03895833333333334
100116,1,0.15354166666666666
100117,1,0.023604166666666666
100118,1,0.026812500000000003
100119,1,0.004583333333333333
100120,1,0.04858333333333333
100121,1,0.0336875
100122,1,0.04720833333333333
100123,1,0.08020833333333334
100124,1,0.047437499999999994
100125,1,0.05797916666666666
100126,1,0.06393750000000001
100127,1,0.029104166666666667
100128,1,0.035979166666666666
100129,1,0.0570625
100130,1,0.1285625
100131,1,0.1611041666666667
100132,1,0.30822916666666667
100133,1,0.03575
100134,1,0.13016666666666665
100135,1,0.24910416666666663
100136,1,0.26835416666666667
100137,1,0.5188333333333333
100138,1,0.19066666666666665
100139,1,0.18516666666666665
100140,1,0.25804166666666667
100141,1,0.3027291666666667
100142,1,0.2564375
100143,1,0.42647916666666663
100144,1,0.1670625
100145,1,0.042854166666666665
100146,1,0.049729166666666665
100147,1,0.067375
100148,1,0.03185416666666666
100149,1,0.0611875
