node,class,lambda0
100001,1,0.050249999999999996
100002,1,0.024249999999999997
100003,1,0.03025
100004,1,0.0
100005,1,0.28924999999999995
100006,1,0.1445
100007,1,0.19749999999999998
100008,1,0.41625
100009,1,0.26849999999999996
100010,1,0.34824999999999995
100011,1,0.09425
100012,1,0.32349999999999995
100013,1,0.21775
100014,1,0.21799999999999997
100015,1,0.10825000000000001
100016,1,0.07125
100017,1,0.07725
100018,1,0.16499999999999998
100019,1,0.0775
100020,1,0.07100000000000001
100021,1,0.15375
100022,1,0.22
100023,1,0.33675
100024,1,0.11024999999999999
100025,1,0.14
100026,1,0.07424999999999998
100027,1,0.07024999999999999
100028,1,0.19524999999999998
100029,1,0.01725
100030,1,0.0405
100031,1,0.00275
100032,1,0.1455
100033,1,0.01575
100034,1,0.11474999999999998
100035,1,0.014249999999999997
100036,1,0.252
100037,1,0.020749999999999998
100038,1,0.06199999999999999
100039,1,0.019
100040,1,0.13224999999999998
100041,1,0.08975
100042,1,0.06275
100043,1,0.05924999999999999
100044,1,0.051
100045,1,0.05824999999999999
100046,1,0.057499999999999996
100047,1,0.07675
100048,1,0.11724999999999998
100049,1,0.07775
100050,1,0.05899999999999999
100051,1,0.182
100052,1,0.143
100053,1,0.1735
100054,1,0.06324999999999999
100055,1,0.084
100056,1,0.12875
100057,1,0.07975
100058,1,0.16474999999999998
100059,1,0.037
100060,1,0.12325000000000001
100061,1,0.05799999999999999
100062,1,0.13024999999999998
100063,1,0.09125
100064,1,0.05324999999999999
100065,1,0.014499999999999997
100066,1,0.023999999999999997
100067,1,0.024749999999999998
100068,1,0.01725
100069,1,0.030999999999999996
100070,1,0.05424999999999999
100071,1,0.08324999999999999
100072,1,0.042249999999999996
100073,1,0.032249999999999994
100074,1,0.05274999999999999
100075,1,0.022
100076,1,0.1795
100077,1,0.0535
100078,1,0.055499999999999994
100079,1,0.05324999999999999
100080,1,0.03025
100081,1,0.050499999999999996
100082,1,0.06199999999999999
100083,1,0.23975000000000002
100084,1,0.27299999999999996
100085,1,0.31875
100086,1,0.23599999999999996
100087,1,0.224
100088,1,0.18774999999999997
